City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
427,Bulawayo,ZW,58.59,clear sky,-20.15,28.5833,4 On Housman Backpackers
429,Shelburne,CA,69.8,clear sky,44.0787,-80.2041,The Retreat at the Farm
431,Myre,NO,35.6,light snow,69.1036,15.9492,Alveland AS
434,Bonavista,CA,33.01,heavy intensity rain,48.6499,-53.1147,Abbott's Bed & Breakfast
440,Madikeri,IN,63.88,broken clouds,12.4167,75.7333,Club Mahindra Madikeri Resort In Coorg
442,Dandong,CN,48.96,overcast clouds,40.1292,124.3947,Yiranju Farmstay
444,Kelheim,DE,48.99,overcast clouds,48.9167,11.8667,DORMERO Hotel Kelheim
445,Prince Albert,CA,51.8,few clouds,53.2001,-105.7677,Holiday Inn Express & Suites Prince Albert
447,Petropavlovsk-Kamchatskiy,RU,35.6,clear sky,53.0452,158.6483,"ООО ""Гостиничный комплекс ""Петропавловск"""
450,Rawson,AR,64.4,clear sky,-43.3002,-65.1023,Hosteria Sampedro
456,Naryan-Mar,RU,37.53,overcast clouds,67.6713,53.086999999999996,Hostel Agat
457,Hakui,JP,54.0,clear sky,36.8833,136.7833,KYUKAMURA NOTO-CHIRIHAMA
458,Yatou,CN,50.14,broken clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
460,Talca,CL,60.8,clear sky,-35.4333,-71.6667,Casa de Huespedes Marbargla
461,Nurota,UZ,53.6,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
462,Skjervoy,NO,34.7,snow,70.0311,20.9714,Skjervøy Byggeservice AS
463,Ketchikan,US,39.2,light snow,55.3422,-131.6461,Snows Cove Lodge
464,Myitkyina,MM,68.83,broken clouds,25.3833,97.4,Shwe Phyu Hotel
468,Jumla,NP,40.23,clear sky,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
471,Priargunsk,RU,32.31,broken clouds,50.3691,119.1012,24 Chasa
474,Foz,ES,50.0,overcast clouds,43.5692,-7.2544,Hotel Balcón de San Bartolo
475,Povenets,RU,30.96,overcast clouds,62.8487,34.8262,Eko Otel' Bol'shaya Medveditsa
476,Svetlyy,RU,35.6,clear sky,54.675,20.1347,"Gostinitsa-Kafe, Alena"
479,Ribeira Brava,PT,60.01,overcast clouds,32.65,-17.0667,Hotel do Campo
483,Mbanza-Ngungu,CD,66.13,overcast clouds,-5.25,14.8667,Hotel Full Business
493,Clyde River,CA,32.0,overcast clouds,70.4692,-68.5914,Qamaq Hotel
494,Luena,AO,58.1,scattered clouds,-11.7833,19.9167,Hotel Kandamba
